artist_name,track_name,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
Billie Eilish,listen before i go,242652,2019,75,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,SAD
JP Saxe,If the World Was Ending (feat. Julia Michaels),208687,2019,76,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,SAD
A-Wall,Loverboy,224520,2019,70,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,SCARED
Duncan Laurence,Arcade,183624,2019,77,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,SAD
Lewis Capaldi,Forever,210863,2019,74,0.646,0.355,1,-7.119,1,0.0263,0.873,0.0,0.115,0.364,84.988,SAD
Dean Lewis,Waves,240013,2019,74,0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,SAD
Billie Eilish,ilomilo,156371,2019,70,0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,SAD
Billie Eilish,goodbye,119410,2019,68,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318,SAD
Yot Club,no way !,166458,2019,65,0.651,0.696,7,-7.889,1,0.0314,0.0949,0.903,0.387,0.62,130.27,SCARED
Lewis Capaldi,Grace,185658,2019,71,0.722,0.565,4,-5.848,1,0.0335,0.435,0.0,0.165,0.488,104.483,SAD
Gracie Abrams,Stay,177153,2019,68,0.618,0.37,10,-10.5,1,0.0543,0.883,0.0,0.123,0.433,114.26,SAD
Lewis Capaldi,One,179908,2019,66,0.708,0.339,9,-7.085,1,0.0409,0.834,0.0,0.128,0.512,117.995,SAD
Yot Club,Landlord,155917,2019,60,0.526,0.56,9,-9.839,1,0.026,0.825,0.015,0.493,0.735,90.882,SCARED
Ruel,Hard Sometimes,269493,2019,61,0.407,0.317,10,-7.895,1,0.0429,0.845,2.66e-06,0.139,0.216,81.899,SAD
